PhigrOS_SATURN Virtual OS,,,,,,,,,
收集品,内容,收集时间,保管单位,等级,长度,款式,碎数研编号,章节,编号
Poem 3ere,"一个梦能买到什么？他说树上的鸟。
一个吻能买到什么？他说风中的叶。
一个笑能买到什么？他说雨里的花。
王子来到了市场。  他拿出了一声赞赏，买到洁白的蛋。
他拿出了一些敬意，买到青翠的芽。
他拿出了一次拥抱，买到醉人的酒。
王子留在了市场。",650/02/29,碎数研,main,,,,第四章管道迷宫,0105
Poem 4Y0,"Wula,wuli,wule,wo 我为何不放弃，已经被你唱过 我为何不忘记，已经有些犯错 他们来了，他们来了，他们的手脚有好多 他们来了，他们来了，他们的笑声很像我  Wula,wuli,wule,wo 带走我的盘子，没人会来争夺 带走我的金子，没人喜欢苹果 他们走了，他们走了，他们的身体在婆娑 他们走了，他们走了，他们的梦将被戳破",650/02/29,碎数研,main,,,,第四章管道迷宫,0106
Poem The 5no,"但他需要一面镜子。 巨人撕开了天空，留下无法填补的裂隙，无数雨点从中飘落，却在到达地面前折返，所以，他试着寻找归来的雏鹰，但他需要一面镜子。
山谷传来了回声，奏出荒蛮之外的迟疑，一支萌芽如梦初醒，却从未能摆脱了过去，所以，他试着放弃破碎的武器，但他需要一面镜子。",650/02/29,碎数研,main,,,,第四章管道迷宫,0107
摘录•碎数研档案•幽蓝国,破碎数据研究组数百年来对幽蓝国的观察记录，如今像素塔崩溃之际，唯有少数深刻的片段被保留了下来。,650/02/29,碎数研,key,,,,第四章管道迷宫,0112
谜题保管所:00096•线索一,"A：州，你不觉得我们有的数据很奇怪么？
B：又哪里奇怪了？
A：我们似乎经常捕捞到一些文字记载，而且这些记载的内容都可以考证。
B：有什么问题？
A：只是有一些记载的内容，我不认为会有能写下这些文字的个体。
B：可能是当事人的回忆或者相关的谣言吧，我们在考证的时候这些内容也不全是完全匹配的。
A：可是我们收集到的那些对话呢？究竟是什么原理，能让我们知晓曾经发生的对话？
B：你知道猴子和打字机么？
A：猴子和打字机？
B：给无限个猴子和无限的时间让它们玩无限个打字机，总有一个会打出一本《Zer0》。
A：我不觉得有这么一个无聊的人会没事就编这么多乱七八糟的对话，就算如此，这些内容大多数都能考证又怎么解释。
B：也许是某种异想？
A：我们对这么厉害的异想一无所知？我不这样认为。
B：换个思路，也许我们的考证并不是准确的，而存在着时空上的错位。只是随便一个人，随便写下了一个故事。而很久之前，抑或是很久之后，发生了相似的事情。",650/02/29,碎数研,souvenir,,,,第四章管道迷宫,0138
谜题保管所:00096•线索二,"疯婆子又跑出来了。
但凡是有嘴的，都在笑她。有的笑声是哈哈哈，有的笑声是嘿嘿嘿，有的没发出声音，只是有个表情。但是所有人都在笑，所有人都在逗她，可能她真的是个疯婆子。
“你今天在找什么？疯婆子？”
“我的笔记本找不到了，我在找我的笔记本。” “你的笔记本是什么颜色的？” “我不记得了。但绝不是蓝色。”
“喵喵说昨天在梦厅边看到一个蓝色的本子，是不是你的啊。” “我去看看，梦厅的里面还是外面？” “你先去找喵喵吧。” “喵喵在哪？”
“喵喵在你的本子上面。” “我知道了。”
“你的本子上写了什么啊？”
“两个朋友，他们讨论脊椎和齿轮，他们质疑我的故事，他们忘记我的存在。一个魔术师被骗了，他把自己变成了鸽子。”",650/02/29,碎数研,souvenir,,,,第四章管道迷宫,0139
波提切利原型机,观星家莫波利斯发明的运动相机，二代机曾经商业化，足以捕捉夜空暗淡的星图。莫波利斯重生后，波提切利相机交由同好继续开发，如今已迭代到 4.0，然而临近毁灭的现在，还有谁会需要一台好相机呢。,663/02/23,莫波利斯,souvenir,,,,支线章节三盗乐行,0360
波提切利原型机•线索一,"莫波利斯：（拍摄）那是什么？
克劳尔：不要转移话题，你的楼层安全性调查报告已经逾期一个月了，再这样下去——
莫波利斯：人影！在月球上，你看。（递出）
克劳尔：（拿过相机）分析完毕，100% 是云，你看错了。
莫波利斯：不不不，怎么会是云呢，你想想，这里可是律动星，人造物堆砌的都市，怎么会有云呢。
克劳尔：律动星的物品总有缺憾，这并不影响（停顿）你的意思是？
莫波利斯：“一切正常”，我想不到比这更好的结语了。",663/02/23,莫波利斯,key,,,,支线章节三盗乐行,0361
报道：《晒月亮的女孩》,"律动星，最适宜居住的楼层。物品中带有旋律，越大的东西，唱得越久。所以总是有小孩子在幻想，如果太阳能化为旋律，会是怎样的乐章。
可是 Linsa 喜欢月亮，当夜深人静时，她会走出房屋，在草坪上跳起舞来。沐浴着月光的物体如果化为旋律，听起来会有些许的不同。她听着每一棵野草，每一根围栏。
恍惚间，她抬起头，第一次如此认真地注视着一直挂在天上的月亮。
如果月亮也能化作旋律，会是怎样的乐曲呢？
她终于将目光从月亮上离开，回头时，却发现了很久前她丢失的玩具小熊，正坐在庭院的石凳旁边。她兴奋地跑过去把它捡起来，但是没有像外面的人想象中一样，迫不及待地把所有东西化为旋律欣赏。她抱起小熊，在周围旋律的包裹中迟疑着什么，时间和她的思考被月光下的旋律沉默地推进着。
很快，来自栏杆的旋律打断了这一片沉默。G 调收尾尚未完成的情况下，唐突转为了 C 调。她立即停下了栏杆的旋律，紧接着停下了周围的一切旋律。这篇草坪真正回到了沉默之中，她仍然抱着小熊，保持着一样的沉默，不同的是她终于意识到自己在迟疑什么。
她小熊的旋律在每次应该结束的时候，总会突然蹦出前面的重音，然后继续进行最响亮的部分，让她听起来非常不舒服。但是她还是选择听一遍，也许是过于想念自己的小熊，也许是怀念那被惊吓到的感觉。
这一次小熊的旋律，好像从一开始就不太一样。是她的记忆模糊了么？不，这是她最喜欢的小熊，这次的旋律就是不太一样。而且旋律十分舒适地结束，在适当的休憩之后继续开始了下一段乐章。
她小熊的旋律，好像被谁修好了。",663/09/01,碎数研,souvenir,,,,支线章节三盗乐行,0325
报道：《相机里的真假月亮》,"波提切利二代相机的诞生无疑是一场运动相机爱好者的狂欢，该机搭载的地理信息记录功能被用来增强画质，足以将细节和光影调整到专业相机也无法企及的程度。不过今日有用户反映，该相机在滥用这一功能。
也许你们曾听说过波提切利二代机拍出过的完美月亮照片，可是有用户发现，如果被拍摄的物品是任何圆形的淡黄色光源，该相机也会把这个光源作为月亮看待，并为其添加月亮表面的纹理。
【图片：波提切利拍摄的月亮】
【图片：波提切利拍摄的与月亮重合的圆形路灯】
我们采访了极限运动家坎风 - 莱斯波斯，他认为这个功能并不会影响到他，因为他多数情况下都会把相机对准自己。 ",664/02/21,碎数研,souvenir,,,,支线章节三盗乐行,0323
散文：《有关旋律的哲思》,"如何定义旋律的好坏？和声、悦耳、主观欣赏？人们在不同角度，有着不同的思考，总能评个高下。
那么如何评断旋律是否缺陷呢？旋律自形成起，便不可能有缺陷，它是由不同音高、时值的乐音规律排列的结果，哪怕破坏它的内在稳定，也可称之为变式、夺奇，如何能叫它先天不足。
如果不是在律动星，这一讨论必然是伪命题。律动星的居民有一套自己的判断方式。这颗星球上的物品皆可化为旋律，而形成完整旋律的，又必然符合闭合曲面规则。因此物品对应的旋律又总是循环的，重复的，无论从哪里开始都能拼接至随机的开头。
物品旋律化的过程中，物品首先将散作无序的音符漂浮在空中，播放阶段它们会循着物品表面的线条编织旋律，最终重新变回物品。故而，人们认为旋律化是一个连续性行为。但奇怪就奇怪在，每次旋律化就像是光碟放进老旧的读取器，总是会在意料不到的地方卡顿。  因此人们坚称律动星的旋律是有缺陷的，而这种缺陷与生俱来。",664/08/01,碎数研,souvenir,,,,支线章节三盗乐行,0324
报道：《神秘黑点与浪漫少女的背后：波提切利相机的秘密》,"近日，有关波提切利运动相机二代的虚假月亮功能被炒的沸沸扬扬。
起初，许多相机购买者声称，使用该相机摄影过程中如果镜头中出现了 “月亮”，相机内置的图像处理技术会自动为其添加纹路等细节——即使你拍摄的仅仅是盏与月亮相像的路灯。
在调查过程中，编者发现有位记者曾为了验证真实情况，自行购买了一台波提切利二代机，并且尽可能的还原发生环境。在验证完传言属实后，该记者本着留存对照组的念头，随手举起相机拍摄了几张真实月亮的图像。本以为事情就此过去，照片冲印好拿到手时他却发现，原本月亮的位置上出现了一个模糊的小黑点。
这一发现促使更多的人参与到了相关讨论当中。我们访问了这位记者，并获得了更多当时的照片，在对这些照片进行分析后，确认其并非伪造。就在此时，与我们一起来访的专家提出了一个引人注目的假设：这是一位少女的身影。
编者的同僚们对此表示怀疑，认为神秘少女的说法有些过于浪漫和不切实际；但编者本人则认为，正因如此，这种猜想才显得尤为吸引人，也可能更加接近真相。",665/05/07,碎数研,souvenir,,,,支线章节三盗乐行,0381
档案•无相乡调查报告,"人偶：哟，这不是 “法官” 先生么。距离你接上一个调查这才多久？怎么，遇着突发状况了？【翻看登记表】
克劳尔：现在又非商议会期间，不如称呼我为 “正义” 探员。工作完成，我来交报告。【调取文件】但是在这之前，请回答我，早上值班的员工呢？我在局里没见过你，你又为什么一副跟我很熟的样子？
人偶：他家着火了，跑出情报部大门时候刚好遇上我这个跑腿的。【拉开制服袖口，展示手腕衔接处的球形关节】我很闲，顺便就帮他坐剩下半天班咯，反正我本身就在等你。
人偶：法官先生，你一直在查 “黑月” 的事情吧。莫波利斯先生托我转达：他知道的其实不比你多，但是他愿意告诉你是从哪里得到的线索。
克劳尔：愿闻其详。
人偶：【指指档案柜】喏，存放疑难杂案那个报告夹，六号合集第六份，答案就在那里。",666/05/32,克劳尔,key,,,,支线章节四无相乡,0382
影像带：《洛基的世界》,"主角洛基是一个别人看不到的幽灵，但是因为各种巧合，以及一些幽灵损友，他从未意识到自己幽灵的身份。最后终于他终于意识到自己是个幽灵，并选择离开这个世界。
此片于拾月节贺岁档上映，但是不少观众反映自己在哪里看过类似的剧情，就是说不上来。",668/03/14,碎数研,souvenir,,,,支线章节三盗乐行,0353
报道：《洛基的世界影评》,"不知道大家的拾月节过得怎么样，但我这次真的有些不舒服。
相信有很多人已经看过这部电影了，不得不说，如果一部电影，它导演的水平以及演员的演技都无可挑剔的时候，你就只能在剧本上找茬。可是这个剧本也挑不出什么致命的问题。
当然，我不是那种什么都要踩上一脚的人，所以我先说好，《洛基的世界》这部电影，是一部制作精良，各方面都很出彩的电影。即便不是在拾月节作为贺岁片上映，仍然会引起轰动。
但是，这部电影让我看得很不舒服。因为影片中的一切过于理所当然了。就是那种问一个问题出去，能收到最多的回答是什么样，这部片子就拍成什么样的感觉。
在给出一个有着充足发挥空间的故事设定之后，这部片子以最平庸的优秀思路讲完了整个故事。整部片子没有任何缺陷，让人怀疑剧本是不是被最近炒的火热的调音天狗修复过。但没有缺陷的同时，也就意味着我无法挑出最好的部分。就像我说过的，一切都好得顺理成章。 这种不适感具体来说，就像片中的女主角林赛，她的所有行动都过于完美，符合人设，符合剧本给她的安排，也会给人带来意外。但这样我就无法感觉到林赛的真实，她的完美让她不再是一个活生生的人，而只是被这部电影摆弄的一个空壳。",668/03/14,碎数研,souvenir,,,,支线章节三盗乐行,0358
【影像】直播录屏,"【卡顿】
⋯⋯好果子吃？我们这只有好的果核，好果子你得多刷两下去隔壁直播间买，哎欢迎这位尾号 4F69 的朋友回来，别的先不说，记得点开菜单领张包邮优惠券，除了下四层都能送到家门口哈；就想尝尝我这儿的果汁？嗨呀您可别揪着不放，我去二代地表收菩提时候尝过拿果肉压的汁，啧啧，优点全长在核上了真得一点都不推荐。来来来朋友们就算是路过啊也别急着走，再坐两分钟就有抽奖！给你们说昂，塔人不骗塔人，我这虽然是小本生意，但回馈朋友们绝不搞什么次品，这波啊，就抽我背后店里非卖品柜上摆的！
【拖凳子一长串噪音】【合页绞动声】【视角上仰放大】【重新对焦】
来带朋友们拉近看一看啊，这条手串，料子来自店里新到的一批响髓玉，光滑通透不硌手，颜值耐造色彩多，到其他楼层旋律照样响，就是隔个小半年得回律动星打卡充回电。脆度怎么样？只要你家地板不咬人掉地上连个印儿都磕不出来；能点歌吗？人家旋律是天然的你也不能强迫人家呀毕竟只是个石头对吧，我们有按曲风大小颜色分类点点下面链接就能看到，犹豫不定我们也有盲盒款按尺码随机发货，再不济的话欢迎来店里挑，地址营业时间主页写得有，感谢各位的关注啊感谢关注；婴幼儿能用吗？给小孩儿买玩具还是推荐去专品店，哦是婴儿林泊啊那随意了多听音乐有助记忆恢复，不过推荐让他自己选免得不喜欢；看起来好好吃？不是养殖种不要乱吃；有异想等级检定证书吗？有，商品页往下划一划，一级静物种放心买；能不能换个角度打光？我举着灯给你转两转昂，噢，是想看自然光下效果啊，可以嘛，朋友们的事举手之劳罢了。
【视角抖动】
好我把终端别胸口上了，现在带朋友们去店门口照照，嗯往后退？退什——
【视角剧烈晃动】【重物摔地声】
【大量弹幕划过，几乎挡死直播画面，1.7 秒后直播录制者启动过滤功能，画面恢复正常】 我（哔——）我手串子！！这群（哔 * 哔 * 哔——）怎么敢在大马路上飞车抢劫？朋友，朋友们别激动，主播我他（哔——）的第一个咽不下这口！真以为就你一个有车是吧？真觉得就你跑得快是吗？谁还没有当鬼火少年的时候！掐表从现在开始算，主播要是半小时追不回来一小手串子，立马给直播间的朋友们！把同款！抽上两，百，个！",668/07/03,碎数研,souvenir,21min49s,,,支线章节三盗乐行,0328
【影像】直播录屏•线索一,"“来直播间的朋友们，追上一个了昂，嗨！看我这速度，没得比！我们现在冲上前直接算账了啊。”【引擎轰鸣声】【拍喇叭】“喂！啊边啊个老表！你抢我手串是要整酿名堂？”【猛拍喇叭】
【抬起一点头盔面罩】“啥？你说额？额滴个娘你别空口污人行不。” “你摆跟我日白，七八分钟前你是不是路口拐弯挆着酿东西？”
“莫有感觉，就觉得有个啥片儿把车头顶滴多歪了一下。噫，你咋还比着摄像头捏？哦你是不是内个，鉴宝滴内个博主？”
“你摆跟我扯别的！你在路口挆着我啊哈，给我一个宝贝手链摸走逑嗳！”【猛拍喇叭】
“哎呦呦呦，见着红人儿哩！大博主额老喜欢看你直播，你帮额看看俺这大链子成色咋样？”【一撸袖子，从手腕上摘下一个核桃串丢过去】
【下意识接住】“哦呦，整得成忙只串，这跟包浆老实红啦！纹路品相都不错，朋友们来看过来哈，这件手串，在其他楼层看已经没什么缺点了，但是呢放在我们律动星啊，就会有一个旋律听感上的问题，一颗核一个调儿，串不好就容易混音地狱。” “还是博主你会看！额耳朵糙，盘了百来年都没的啥感觉。”
“这种情况啊，自己不介意就放着不用管了，想好好保养的话我回头给你介绍个懂调理的加工师傅⋯⋯等啊！你给我串儿瞧是搞酿干壳儿！给我的拿过来！” “谁抢你串子喽，额说嘞莫拿莫拿！”
“你没拿不能说你们没拿给活？都是我粉丝朋友啊我也不纵整你，抢我手链那个同伙往哪边跑啊我去追他！”
“额就纳闷咧，哪儿啥时候还给咱掉下来个车伴儿？”
“你还讲！你把我撞到半空中时候，我明明看见你后车筐上坐着一个！” “你才车后头坐着一个！” “啥？！”【声音变调】 “甭急着回头咧！前面有卡口！刹车！”
【镜头视角被猛地下压】【尖锐的轮胎刮地噪音】【一片漆黑】【警笛鸣声渐响】
“⋯⋯我（哔 * 哔——）！一脚没给我脊椎踩断了去！”
【脚步声】“博主诶你好着么博主？！”
【画面重新亮起】【光线杂乱闪烁】
“人没事，朋友们不用担心。等下子！你手串哪去了噶！” “诶！”
“也着偷啦！”",668/07/03,碎数研,souvenir,23min58s,,,支线章节三盗乐行,0329
【影像】拍摄者采访记录存档,"采访对象：Khalid 热心市民莫先生
采访影像：
【背景音比较嘈杂，似乎在一个热闹的街区，人群的说话声中还混杂着不同风格的乐曲。】
【莫先生看起来还有点醉醺醺的，他抓了抓头发，似乎在努力回忆当天的情形。】
记者：您是这里常客吗？
莫先生：嗝，怎么了⋯⋯
记者：请问当天文玩核桃失窃一案发生的时候，您在场吗？
莫先生：这个呀，我，我看到了，那个小偷，我还拍照了，诺，就，就这个，就是距离太远！模模糊糊的。我那天刚从静协酒吧出来，想透透气，用我这个新相机，拍拍天空，然后就拍到了。哈哈，没有更多啦，只有给你们看过的那一张⋯⋯啊？你们没看清？来，再看一遍，看清了吗。不得不说，他飞得是——真的快！我这么好的波提切利，也只能抓住那短短的一瞬—— 记者：如此。那您有没有注意到一些特别的地方吗？
莫先生：啊？特别的地方？嘶，我想想⋯⋯【莫先生对着镜头做出了一个 V 字手势】他就是这么做的，对镜头比耶，是不是很有趣哈哈哈⋯⋯",668/08/02,碎数研,souvenir,7min26s,,,支线章节三盗乐行,0326
文玩核桃,"三颗外观品相上乘的文玩核桃，其中一颗已经碎裂，露出塑料质地的内里。邮寄人是一位居住在律动星的少女，对方在附件中写道：
这三颗塑料核桃均来自她父亲被怪盗盗走又归还的核桃手串。手串初回到手里时颗颗颜色不一，形同没盘匀称的失败品，这导致失而复得本有点欢喜的父亲破防大哭，闹腾之余将手串丢出窗外。在收拾过残局后，她注意到其中一颗核桃已经开裂，里面居然是塑料的！考虑到自己倒霉爹柔弱受伤的心灵，她在比对旋律捡走其他两个塑料假货后将剩余的核桃摆在家里窗台上。
调查组收货一段时间后，这位少女再度发来邮件：她的父亲终究还是没能躲过二次打击——剩下的文玩核桃陆续发芽了。她将发芽的核桃埋进了花盆里，希望父亲能有些慰藉，或者说不要再执意把那些油嫩嫩的白芽也薅到包浆。",668/11/09,碎数研,souvenir,,,,支线章节三盗乐行,0330
木质八音盒,"一只十分常见的八音盒，根据邮寄人和附带的信件来看其主人为 Khalid 克林酒馆老板露莎•克林女士。该八音盒外形为小提琴，底板上刻着其主人的姓名，无需发条或者电力驱动只需要拿在手上几秒钟即可演奏，制作精美具有一定的装饰作用。信中写道，因为各种问题，该八音盒在乐曲播放结束后都会因为复位而发出少许噪音，一般会由露莎女士亲自调整至原始状态来解决该问题。
“⋯⋯但是有一天我发现本来放在柜台上当装饰品的八音盒不见了，我的天哪，这可是我丈夫送给我的礼物，怎么说不见就不见了呢！那时候把我急得呀⋯⋯我问遍了客人看到我的八音盒了没有，客人都不知道它去了哪里，那天晚上我还哭了好久⋯⋯” “说来也怪，难不成真的应了那句一个东西丢失不去寻找的时候就会自己出现的话，在一周后我惊讶的发现丢失的八音盒自己回来了，而且就放在一堆酒杯后面！当然不可能是我放在那里的，我可是这里的老板什么东西放在哪里我可一清二楚！” “于是我把它放回原来的位置了，照常打开开关放我最喜欢的那首舞曲，接着我就做事去了——这个八音盒我是熟悉的，一首曲子大概三四分钟，在结束后我就要回来重新复位一下，是的这挺麻烦，毕竟是老款式了，况且这在律动星也是不可避免的问题。但是那天我忙着接待客人了没有管它，等我回来的时候它依旧在放那首优美的小提琴曲，没有任何一点异常⋯⋯这太奇怪了，于是我又重新计算了一下时间，这首曲子一共三分二十三秒，和以往不同，旋律的淡入和淡出没有半点违和，我听了几年的杂音就这么消失了！我甚至怀疑这还是不是我的八音盒，但是底下镌刻的名字又分毫不差⋯⋯”
“如果可以的话，我还挺想把它拆开看看里面是不是多了什么特殊的零件之类的。我听说您们这正在寻找这类的物品，我就把它寄过来了——哦对，如果可以的话，各位可否能来酒馆喝几杯，我再和您们详细说说。” 在信的最后，露莎女士这么写道。",669/01/04,碎数研,souvenir,,,,支线章节三盗乐行,0327
吉克•莱斯波斯-Year372,"发生地点：静协酒吧
“你确定是这一段被修复了么，我觉得这里还不是很完美。”
这是律动星最昂贵的威士忌酒，名自传奇极限运动员吉克•莱斯波斯。一杯就可以买下一颗卫星。
“你就拿你刚喝过的这杯酒来说，它的价格不会影响到它的味道，但如果我现在告诉你它的价格，你会想再喝一口然后真的感觉得到一些不同。这个时候，这杯酒的味道就已经出现了一道裂痕。”",669/04/07,碎数研,souvenir,,,,支线章节三盗乐行,0331
报道：《酒吧辩手，市长想谈谈》,"【律动星第三大道 114 号，静协酒吧，一间辩论者的酒吧。酒吧禁止物品旋律化，违反规则的客人将会被请离。但在这里，讨论不受任何限制，只要有理，任何话题皆受欢迎。大批辩论爱好者聚集于此，火热的辩论氛围街头传到巷尾，人们为有理者振臂，为坚定者喝彩。】
【670 年年关，市长邀请静协酒吧的辩论者参加一场公开辩论的节目。起初没人在乎这次作秀，直到全塔的主流媒体长枪大炮地对准这一小小的辩论者酒吧，人们才意识市长是要来真格的。】
市长：我来这里，只干一件事情。辩论，还是 OO 的辩论！
暴脾气：知道的晓得你辩论，不知道还以为你来打架的呢，说吧，到底要辩什么？大家还等着开席呢！
市长：天狗，是你们这出的吧。
【喧哗声涌起。】 理中客：有一说一，你要讲热心莫先生采访里的照片，确实是酒吧门口拍的。但是！谁能证实照片里的影子就是怪盗。所以！我认为应该从常计较，先从调音天狗到底存不存在开始讨论。
不动摇：我看那个影子，就是朵云！哪来的怪盗，证据呢！嘿，那边的秘书，你们证据呢？
秘书：那个，市长。
【喧哗声涌起。】
市长：别吵！我当然有证据。这核桃就是证据！
暴脾气：咋地？
市长：神秘失踪的手串儿，现在还回来了，你看！跟没盘过一样，白润！哎哎哎，别急着否定我，东西掉没掉换，有旋律为证，旋律是死的！而且啊，这旋律还被修复了！
暴脾气：卧靠，还真是。 理中客：回到问题本身，这只能证实可能确实有这么一个异想，可以修复物品的旋律，但你有什么证据证明就是照片里的影子？总不能因为他们出现在同一地点，就判定他们有因果关系吧？
市长：这里是像素塔，一切皆有可能！
【喧哗声此起彼伏，不绝于耳。】",670/02/23,碎数研,main,,,,支线章节三盗乐行,0332
报道：《酒吧辩手，市长想谈谈》•线索一,"理中客：辩论的最后，我们讨论调音天狗如果存在，又涉及到调音天狗的形态学、行动规律、可能出现的背景等等。我认为这已经不是在讨论它是否存在了，而是在制造一个它 “已经存在” 的语境。
市长的帮手：你说的对，但我们需要向市民解释，为什么被盗物品的旋律都被修复了。
理中客：所以我可以这么认为吗？你们在通过扩大影响，来制造异想！
【喧哗声已经溢出了酒吧。】
市长：你觉得人们所说的调音天狗是什么？是月食中偶尔出现的现象，还是一个精神的寄托？
理中客：你回避了我的问题，是否表明你认同我的观点。
市长：不不不，我只是为市民说话。",670/02/23,碎数研,main,,,,支线章节三盗乐行,0333
报道：《酒吧辩手，市长想谈谈》•线索二,"【辩论会结束后，本台记者采访了现场的围观群众，看看他们是怎么想的。】
市民 A：哎呀，我之前也没想到辩论这么有趣，逆转逆转再逆转的，可能我以后也会成为静协酒吧的常客吧。
记者：那么您对这次的辩题有什么看法吗？
市民 A：听完觉得调音天狗好厉害啊，什么都能修好，也来修修我家电视就好了。
记者：旁边这位朋友似乎有话要说？
市民 B：我瞎说哦，我瞎说，市长都把天狗捧到救世主的水平了，那它干嘛不一次性把律动星上所有的缺陷修好呢？我看它修东西，也没什么工期、CD 啥的啊？
记者：您是说，让调音天狗把整个律动星都盗走吗？
市民 A：它把律动星偷走了，那我们怎么办？
市民 B：一起打包带走呗，总不能把我们留在宇宙真空里。
市民 A：我看你脑子也有缺陷，需要修修。
记者：两位真是幽默，让我们来采访下一位朋友。",670/02/23,碎数研,key,,,,支线章节三盗乐行,0334
帖子：《天桥东！发现天狗！》,"楼主：[图片][图片][图片] 天狗 1 楼：已阅
2 楼：已阅
3 楼：我都看腻了，狗网友能不能发点正脸？调音酱，嘿嘿嘿，可爱的，软软的，香香的调音酱~
4 楼：（回复 3 楼）楼上还异？
5 楼：异成萝莉，总比异成狗强
6 楼：都默认是 meme 异想了呗，不是，TZB 也不管管？
7 楼：TZB 向来滞后管辖，只要调音天狗没有正式成形，那群临时探员动都不动一下。
8 楼：就是就是，接个龙，今天份的饭［图片］
9 楼：（回复 8 楼）太太好喂！香香！
10 楼：这个所有人都觉得调音天狗是黄毛萝莉的世界，我真是受够了！",670/05/20,碎数研,souvenir,,,,支线章节三盗乐行,0336
小说：《困在街道中的老人》,"沉默，如一道耳鸣荡过街道的巷尾，老人徒步，丈量石板的温度。
来到律动星已是遥远的故事，灯光熹微的夜晚，摘下老花镜，躺入棉被的顷刻，暖流环绕着大脑，无数个重复的夜晚织成梦境，时间犹如镜的回廊，折射他褶皱的脸庞。
这样一张脸，属于老人，还是死人，他想起护理员的怒骂，家人的漠视，一切本不该在这里，在天堂存储的记忆。起风了，云雾穿过他的身体，他在降落，降落向那片大地，那座城，那条困住他一生的街道。",671/01/01,碎数研,souvenir,,,,支线章节三盗乐行,0335
碎数研-report-BUBD-22-1,幽蓝国和它的接触机制幽蓝边界的形成机理尚不明确，我们推测幽蓝边界与忘忧宫的防卫护壁相似，不过表面威胁性更低。可以确定的是，幽蓝国确实属于像素塔最初的设计内容，但是绝不是以现在的形式存在。起码在 TZB 采取强制措施之前，幽蓝国就已经发生了改变。非常值得注意的一点是，进入幽蓝国这个废纸篓的数据，仍然存在被删除的风险，数据会以特定的加密形式被流放到下二层，最终在遗忘中消散。至于最终数据是被删除，还是以另一种形式继续存在于我们无法感知的范围，又或者最终处理区域设计在像素塔之外，无论哪种假设都缺乏一定的合理性。,671/02/01,碎数研,souvenir,,,,第四章管道迷宫,0113
报道：《对大众心理学研究的反叛：当他人主宰你的存在》,"如果你周围的一切人都在演戏，让你生活在他人意图的想象中，你该如何定义自己的存在？如果你的存在来自于他人的构建，那么你将去往何方？
在当今社会，我们执着于将心理学研究的焦点聚集在人个体与社会的交互上，以此探索人们如何相互影响与塑造；因此却怠于考虑人与人之间的割裂。或者说，人们似乎默认这不属于该方面的研究。
然而，当人际关系带来的的影响变得极端，这种生活状态对个体认知的颠覆同样是一个深刻的议题。正如电影《洛基的世界》中所述，如果你是主角洛基，而你从未遇到剧中的幽灵莱恩，那么你能否意识到自己是与他人不同的幽灵。
另一个相关的思考是，我们是否可以假设，某个年迈的个体因受到社会割裂的影响，在某种意义上处于一种类似 “尸体与活人之间” 的状态，他们的自我认知是否在社会的不断变迁中变得模糊不清？这并非人如何定义自己的存在与否的问题，而是社会如何影响已偏差的个体的问题。 在种种复杂的外界因素下，人们该怎样探索真实的自我？或许未来的研究需要更多地关注个体如何保持自我认知的完整性，以帮助人们在复杂的社会环境中重新审视和定义自身的存在。",671/03/22,碎数研,souvenir,,,,支线章节三盗乐行,0380
碎数研-report-BUBD-22-2,"在没有无人机成功返回的情况下，我们至今无法获得 “79” 内部的任何情报。有趣的一点是，根据现有情报得知，部分应该进入幽蓝国的数据，在滞留期失去信标，极有可能进入了 “79”。也可能幽蓝国核心存在某种筛选机制使不同的数据被流放的速度存在差别，那么这个机制为何存在，该机制如何对数据进行筛选，我们尚未可知。 抑或根本不存在这个机制，而是幽蓝国内部仍有活动单位对数据流放进行了干扰，这或许能解释为何偶尔能从幽蓝边界中提取到与搜索关键词无关的数据。我的同僚或许会支持活动单位这种解释，“79” 内部广阔，居住有活动单位也不无可能。
我们的调查人员设计了一种实验对此猜想进行了验证，具体过程可参考附录 A。实验发现部分有些数据被投入幽蓝国后，如果后续人为去除信标，会有完全镜像的内容被流放到石林河域内，又或者完全失去踪迹。这一实验表明了并非所有数据都会遭到处理，可见这并非是自动筛选修复机制。",671/07/23,碎数研,souvenir,,,,第四章管道迷宫,0114
碎数研-log-BUBD-951,"A：你还记得第四层的那个大坑么？
B：是的，虹之战的遗址。
A：我一直很奇怪那个遗址为什么会出现在那个地方，所以我去拿了第四层地形结构的多方对比资料，模拟出来这么一个东西。
B：让我看看。
A：你不觉得这形状和它很像？
【 A 拿出一张巨大鲸鱼的照片，该图像拍摄自幽蓝边界出现的瞬间。】
B：一般。
A：那这个角度呢？
B：嘶～我去联系外勤。",671/07/23,碎数研,souvenir,,,,第四章管道迷宫,0116
